team,season,total_snaps,yards_gained,touchdown,extra_point_attempt,field_goal_attempt,total_points,td_points,xp_points,fg_points,fumble,fumble_lost,shotgun,no_huddle,qb_dropback,pass_snaps_count,pass_snaps_pct,pass_attempts,complete_pass,incomplete_pass,air_yards,passing_yards,pass_td,interception,targets,receptions,receiving_yards,yards_after_catch,receiving_td,pass_fumble,pass_fumble_lost,rush_snaps_count,rush_snaps_pct,qb_scramble,rushing_yards,run_td,run_fumble,run_fumble_lost,home_wins,home_losses,home_ties,away_wins,away_losses,away_ties,wins,losses,ties,win_pct,record,yps
CAR,2013,981,8465,38,42,24,342,228,42,72,8,3,604,33,551,513,0.52,457,292,165,4238,3379,24,13,457,292,3379,1613,24,4,2,468,0.48,39,2043,14,4,1,7,1,0,5,3,0,12,4,0,0.75,"	12-4-0",8.63
CAR,2014,1051,9377,37,34,29,343,222,34,87,19,9,730,178,619,586,0.56,530,327,203,5321,3828,24,12,530,327,3820,1419,24,9,5,465,0.44,33,2036,10,10,4,4,4,0,3,5,1,7,9,1,0.412,"	7-9-1",8.92
CAR,2015,1041,9761,57,56,30,488,342,56,90,13,9,743,210,559,532,0.51,489,300,189,5180,3873,35,10,489,300,3873,1494,35,5,4,509,0.49,27,2299,21,8,5,8,0,0,7,1,0,15,1,0,0.938,"	15-1-0",9.38
CAR,2016,1049,9465,42,31,30,373,252,31,90,11,8,809,209,613,601,0.57,541,306,235,5711,3962,25,19,541,306,3957,1466,25,5,4,448,0.43,12,1819,16,6,4,4,4,0,2,6,0,6,10,0,0.375,"	6-10-0",9.02
CAR,2017,1009,8525,40,34,29,361,240,34,87,15,5,732,102,567,536,0.53,483,293,190,4248,3319,23,16,483,293,3319,1623,23,5,0,473,0.47,31,2127,16,10,5,6,2,0,5,3,0,11,5,0,0.688,"	11-5-0",8.45
CAR,2018,998,10063,47,37,19,376,282,37,57,17,4,766,81,626,595,0.6,543,378,165,4161,4071,29,16,543,378,4071,2053,29,9,2,403,0.4,31,2152,17,8,2,5,3,0,2,6,0,7,9,0,0.438,"	7-9-0",10.08
CAR,2019,1073,9610,41,31,25,352,246,31,75,19,11,771,85,716,691,0.64,610,382,228,5311,4134,18,21,610,382,4134,2026,18,12,7,382,0.36,25,1824,20,7,4,2,6,0,3,5,0,5,11,0,0.313,"	5-11-0",8.96
CAR,2020,982,9728,37,33,29,342,222,33,87,13,5,605,32,624,586,0.6,532,373,159,4118,4129,16,16,532,373,4123,2025,16,6,3,396,0.4,38,1715,19,7,2,2,6,0,3,5,0,5,11,0,0.313,"	5-11-0",9.91
CAR,2021,1099,8673,34,26,26,308,204,26,78,21,8,733,139,683,653,0.59,577,348,229,4425,3573,16,21,577,348,3573,1823,16,10,3,446,0.41,30,1855,17,11,5,2,6,0,3,6,0,5,12,0,0.294,"	5-12-0",7.89
CAR,2022,971,8440,35,30,33,339,210,30,99,18,5,530,86,510,491,0.51,441,267,174,3323,3246,18,13,441,267,3226,1714,18,7,3,480,0.49,19,2216,17,11,2,5,4,0,2,6,0,7,10,0,0.412,"	7-10-0",8.69
CAR,2023,1094,7765,25,17,25,242,150,17,75,21,10,905,123,683,651,0.6,575,350,225,4482,3245,17,10,575,350,3245,1439,17,16,7,443,0.4,32,1773,8,5,3,2,6,0,0,9,0,2,15,0,0.118,"	2-15-0",7.1
CHI,2012,982,8287,35,40,28,334,210,40,84,16,7,332,23,558,530,0.54,469,287,182,4830,3298,23,16,469,287,3298,1231,23,12,5,452,0.46,28,1988,11,4,2,5,3,0,5,3,0,10,6,0,0.625,"	10-6-0",8.44
CHI,2013,1004,10578,52,45,26,435,312,45,78,16,9,605,38,630,609,0.61,562,373,189,5030,4450,39,13,562,373,4450,1763,39,11,7,395,0.39,21,1837,13,5,2,5,3,0,3,5,0,8,8,0,0.5,"	8-8-0",10.54
CHI,2014,997,9291,42,33,12,321,252,33,36,19,10,719,60,675,654,0.66,590,396,194,4474,4035,32,19,590,396,4035,2161,32,13,9,343,0.34,21,1454,8,6,1,2,6,0,3,5,0,5,11,0,0.313,"	5-11-0",9.32
CHI,2015,1022,9367,39,28,33,361,234,28,99,17,8,753,274,576,559,0.55,510,334,176,4327,3843,25,12,510,334,3843,1841,25,10,5,463,0.45,17,1860,13,7,3,1,7,0,5,3,0,6,10,0,0.375,"	6-10-0",9.17
CHI,2016,958,9850,32,31,18,277,192,31,54,23,10,607,76,590,585,0.61,538,347,191,5153,4139,21,19,538,347,4139,1654,21,13,7,373,0.39,5,1742,10,10,3,3,5,0,0,8,0,3,13,0,0.188,"	3-13-0",10.28
CHI,2017,930,7694,29,26,16,248,174,26,48,22,10,494,37,533,512,0.55,460,291,169,3487,3085,14,12,460,291,3086,1351,14,12,6,418,0.45,21,1795,14,10,4,3,5,0,2,6,0,5,11,0,0.313,"	5-11-0",8.27
CHI,2018,1000,9275,46,42,23,387,276,42,69,19,10,797,35,587,549,0.55,497,344,153,4502,3747,29,14,497,344,3747,1586,29,10,6,451,0.45,38,1956,16,9,4,7,1,0,5,3,0,12,4,0,0.75,"	12-4-0",9.28
CHI,2019,1012,8330,29,27,23,270,174,27,69,9,6,780,145,647,623,0.62,565,371,194,4537,3573,20,12,565,371,3573,1538,20,4,3,389,0.38,24,1464,8,5,3,4,4,0,4,4,0,8,8,0,0.5,"	8-8-0",8.23
CHI,2020,1034,9242,41,36,30,372,246,36,90,15,5,669,98,670,650,0.63,596,402,194,4870,3925,28,16,596,402,3925,1720,28,12,5,384,0.37,20,1658,12,3,0,3,5,0,5,3,0,8,8,0,0.5,"	8-8-0",8.94
CHI,2021,1067,8879,33,27,26,303,198,27,78,21,7,713,113,659,601,0.56,519,332,187,4485,3635,18,20,519,332,3635,1609,18,13,5,466,0.44,58,2028,14,8,2,3,5,0,3,6,0,6,11,0,0.353,"	6-11-0",8.32
CHI,2022,985,7834,40,27,25,342,240,27,75,27,8,654,54,509,439,0.45,361,223,138,3426,2598,21,15,361,223,2589,1141,21,15,6,546,0.55,70,3024,18,12,2,2,7,0,1,7,0,3,14,0,0.176,"	3-14-0",7.95
CHI,2023,1089,8937,40,31,35,376,240,31,105,22,9,841,90,621,566,0.52,498,321,177,3775,3421,23,15,498,321,3421,1722,23,16,8,523,0.48,55,2418,16,6,1,5,3,0,2,7,0,7,10,0,0.412,"	7-10-0",8.21
